antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,connection,Line_X,Line_Y,dummy
Apples,Bread,0.16339869281045752,0.1503267973856209,0.0457516339869281,0.27999999999999997,1.862608695652174,0.021188431799735143,1.1801016702977487,0.5535714285714285,T-19,8,26,1
Bread,Apples,0.1503267973856209,0.16339869281045752,0.0457516339869281,0.30434782608695654,1.862608695652174,0.021188431799735143,1.2026143790849675,0.5450549450549451,T-19,9,86,1
Cheese,Apples,0.1830065359477124,0.16339869281045752,0.0392156862745098,0.2142857142857143,1.3114285714285716,0.009312657524883593,1.0647653000594177,0.29066666666666674,T-55,10,151,1
Apples,Cheese,0.16339869281045752,0.1830065359477124,0.0392156862745098,0.24,1.3114285714285714,0.009312657524883593,1.0749914000687995,0.28385416666666674,T-55,8,26,1
Apples,Chicken,0.16339869281045752,0.13071895424836602,0.032679738562091505,0.2,1.53,0.011320432312358495,1.0866013071895424,0.4140625,T-150,8,26,1
Chicken,Apples,0.13071895424836602,0.16339869281045752,0.032679738562091505,0.25,1.53,0.011320432312358495,1.1154684095860568,0.39849624060150374,T-150,13,166,1
Milk,Apples,0.1568627450980392,0.16339869281045752,0.0457516339869281,0.29166666666666663,1.7849999999999997,0.02012046648724849,1.1810841983852365,0.521594684385382,T-173,14,229,1
Apples,Milk,0.16339869281045752,0.1568627450980392,0.0457516339869281,0.27999999999999997,1.785,0.02012046648724849,1.1710239651416123,0.5256696428571428,T-173,8,26,1
Onions,Apples,0.1503267973856209,0.16339869281045752,0.026143790849673203,0.1739130434782609,1.0643478260869565,0.001580588662480245,1.0127278981768146,0.07115384615384626,T-134,16,240,1
Apples,Onions,0.16339869281045752,0.1503267973856209,0.026143790849673203,0.16,1.0643478260869565,0.001580588662480245,1.0115157173980704,0.0722656250000001,T-134,8,26,1
Pasta,Apples,0.1503267973856209,0.16339869281045752,0.0392156862745098,0.2608695652173913,1.5965217391304347,0.014652484087316845,1.1318723567858517,0.4397435897435898,T-38,18,253,1
Apples,Pasta,0.16339869281045752,0.1503267973856209,0.0392156862745098,0.24,1.5965217391304347,0.014652484087316845,1.1179910560715514,0.44661458333333337,T-38,8,26,1
Apples,Potatoes,0.16339869281045752,0.17647058823529413,0.0457516339869281,0.27999999999999997,1.5866666666666664,0.016916570549788536,1.1437908496732025,0.44196428571428553,T-112,8,26,1
Potatoes,Apples,0.17647058823529413,0.16339869281045752,0.0457516339869281,0.25925925925925924,1.5866666666666664,0.016916570549788536,1.1294117647058826,0.4489795918367346,T-112,21,262,1
Apples,Sugar,0.16339869281045752,0.16993464052287582,0.058823529411764705,0.36,2.1184615384615384,0.03105643128711179,1.2969771241830064,0.6310763888888888,T-169,8,26,1
Sugar,Apples,0.16993464052287582,0.16339869281045752,0.058823529411764705,0.34615384615384615,2.1184615384615384,0.03105643128711179,1.2795078815840062,0.6360454943132108,T-169,23,268,1
Apples,Tea,0.16339869281045752,0.1503267973856209,0.032679738562091505,0.2,1.3304347826086957,0.008116536374898547,1.0620915032679739,0.2968750000000001,T-84,8,26,1
Tea,Apples,0.1503267973856209,0.16339869281045752,0.032679738562091505,0.2173913043478261,1.3304347826086957,0.008116536374898547,1.0689905591866378,0.29230769230769243,T-84,25,270,1
Tomatoes,Apples,0.17647058823529413,0.16339869281045752,0.0392156862745098,0.2222222222222222,1.3599999999999999,0.010380622837370238,1.0756302521008403,0.32142857142857134,T-171,26,272,1
Apples,Tomatoes,0.16339869281045752,0.17647058823529413,0.0392156862745098,0.24,1.3599999999999999,0.010380622837370238,1.0835913312693497,0.3164062499999999,T-171,8,26,1
Yogurt,Apples,0.16993464052287582,0.16339869281045752,0.05228758169934641,0.3076923076923077,1.883076923076923,0.024520483574693493,1.2084241103848947,0.5649606299212598,T-58,28,271,1
Apples,Yogurt,0.16339869281045752,0.16993464052287582,0.05228758169934641,0.32,1.883076923076923,0.024520483574693493,1.2206843521722415,0.5605468749999999,T-58,8,26,1
Bananas,Bread,0.24183006535947713,0.1503267973856209,0.0457516339869281,0.18918918918918917,1.2585193889541715,0.00939809474988252,1.0479302832244008,0.27093596059113295,T-105,30,56,1
Bread,Bananas,0.1503267973856209,0.24183006535947713,0.0457516339869281,0.30434782608695654,1.2585193889541717,0.00939809474988252,1.0898692810457515,0.2417582417582417,T-105,9,86,1
Bananas,Butter,0.24183006535947713,0.16339869281045752,0.058823529411764705,0.24324324324324323,1.4886486486486485,0.01930881284975864,1.1055088702147526,0.43295019157088127,T-64,30,56,1
Butter,Bananas,0.16339869281045752,0.24183006535947713,0.058823529411764705,0.36,1.4886486486486485,0.01930881284975864,1.184640522875817,0.3923611111111111,T-64,33,108,1
Cereal,Bananas,0.20261437908496732,0.24183006535947713,0.058823529411764705,0.2903225806451613,1.2005231037489104,0.009825280874877183,1.0683303624480094,0.209471766848816,T-170,34,129,1
Bananas,Cereal,0.24183006535947713,0.20261437908496732,0.058823529411764705,0.24324324324324323,1.2005231037489101,0.009825280874877183,1.053688141923436,0.22030651340996169,T-170,30,56,1
Cheese,Bananas,0.1830065359477124,0.24183006535947713,0.05228758169934641,0.28571428571428575,1.1814671814671815,0.008031099149899613,1.061437908496732,0.18800000000000003,T-135,10,151,1
Bananas,Cheese,0.24183006535947713,0.1830065359477124,0.05228758169934641,0.21621621621621623,1.1814671814671815,0.008031099149899613,1.0423709713770566,0.20258620689655177,T-135,30,56,1
Bananas,Chicken,0.24183006535947713,0.13071895424836602,0.05228758169934641,0.21621621621621623,1.654054054054054,0.020675808449741553,1.1090827135451882,0.521551724137931,T-80,30,56,1
Chicken,Bananas,0.13071895424836602,0.24183006535947713,0.05228758169934641,0.39999999999999997,1.6540540540540538,0.020675808449741553,1.2636165577342044,0.4548872180451128,T-80,13,166,1
Eggs,Bananas,0.17647058823529413,0.24183006535947713,0.0457516339869281,0.25925925925925924,1.072072072072072,0.0030757400999615464,1.0235294117647058,0.08163265306122432,T-107,40,197,1
Bananas,Eggs,0.24183006535947713,0.17647058823529413,0.0457516339869281,0.18918918918918917,1.072072072072072,0.0030757400999615464,1.0156862745098039,0.08866995073891608,T-107,30,56,1
Juice,Bananas,0.1503267973856209,0.24183006535947713,0.05228758169934641,0.3478260869565218,1.438307873090482,0.015934042462300825,1.1625272331154684,0.35865384615384616,T-40,42,214,1
Bananas,Juice,0.24183006535947713,0.1503267973856209,0.05228758169934641,0.21621621621621623,1.438307873090482,0.015934042462300825,1.0840658102321388,0.40193965517241376,T-40,30,56,1
Milk,Bananas,0.1568627450980392,0.24183006535947713,0.0392156862745098,0.25,1.0337837837837838,0.0012815583749839835,1.0108932461873639,0.03875968992248071,T-62,14,229,1
Bananas,Milk,0.24183006535947713,0.1568627450980392,0.0392156862745098,0.16216216216216217,1.0337837837837838,0.0012815583749839835,1.006325110689437,0.04310344827586217,T-62,30,56,1
Onions,Bananas,0.1503267973856209,0.24183006535947713,0.0392156862745098,0.2608695652173913,1.0787309048178613,0.0028621470374642216,1.025759323337178,0.08589743589743586,T-103,16,240,1
Bananas,Onions,0.24183006535947713,0.1503267973856209,0.0392156862745098,0.16216216216216217,1.0787309048178615,0.0028621470374642216,1.0141260805397427,0.0962643678160919,T-103,30,56,1
Oranges,Bananas,0.1895424836601307,0.24183006535947713,0.05228758169934641,0.27586206896551724,1.140726933830382,0.006450510487419368,1.046996576408341,0.15221774193548385,T-89,48,246,1
Bananas,Oranges,0.24183006535947713,0.1895424836601307,0.05228758169934641,0.21621621621621623,1.1407269338303823,0.006450510487419368,1.0340320036060402,0.16271551724137928,T-89,30,56,1
Pasta,Bananas,0.1503267973856209,0.24183006535947713,0.05228758169934641,0.3478260869565218,1.438307873090482,0.015934042462300825,1.1625272331154684,0.35865384615384616,T-85,18,253,1
Bananas,Pasta,0.24183006535947713,0.1503267973856209,0.05228758169934641,0.21621621621621623,1.438307873090482,0.015934042462300825,1.0840658102321388,0.40193965517241376,T-85,30,56,1
Bananas,Potatoes,0.24183006535947713,0.17647058823529413,0.06535947712418301,0.2702702702702703,1.5315315315315314,0.022683583237216455,1.1285403050108933,0.45775862068965517,T-26,30,56,1
Potatoes,Bananas,0.17647058823529413,0.24183006535947713,0.06535947712418301,0.37037037037037035,1.5315315315315314,0.022683583237216455,1.2041522491349481,0.42142857142857143,T-26,21,262,1
Bananas,Sugar,0.24183006535947713,0.16993464052287582,0.0457516339869281,0.18918918918918917,1.1133056133056132,0.0046563287624417915,1.023747276688453,0.13423645320197033,T-59,30,56,1
Sugar,Bananas,0.16993464052287582,0.24183006535947713,0.0457516339869281,0.2692307692307692,1.1133056133056132,0.0046563287624417915,1.0374957000343996,0.12260967379077606,T-59,23,268,1
Tomatoes,Bananas,0.17647058823529413,0.24183006535947713,0.05228758169934641,0.2962962962962963,1.2252252252252251,0.009611687812379852,1.0773993808049536,0.22321428571428564,T-57,26,272,1
Bananas,Tomatoes,0.24183006535947713,0.17647058823529413,0.05228758169934641,0.21621621621621623,1.2252252252252251,0.009611687812379852,1.050709939148073,0.24245689655172406,T-57,30,56,1
Yogurt,Bananas,0.16993464052287582,0.24183006535947713,0.0457516339869281,0.2692307692307692,1.1133056133056132,0.0046563287624417915,1.0374957000343996,0.12260967379077606,T-106,28,271,1
Bananas,Yogurt,0.24183006535947713,0.16993464052287582,0.0457516339869281,0.18918918918918917,1.1133056133056132,0.0046563287624417915,1.023747276688453,0.13423645320197033,T-106,30,56,1
Butter,Bread,0.16339869281045752,0.1503267973856209,0.05228758169934641,0.32,2.128695652173913,0.02772437951215345,1.2495194156093812,0.6337890625,T-3,33,108,1
